Index	JPN	ENG
MercX144	コード	Kord
MercX145	ウーサー	Uther
MercX146	イップ	Ip
MercX147	ウルッフ	Ulf
MercX148	サール	Tharr
MercX149	ケイリム	Kaelim
MercX150	ウルリック	Ulric
MercX151	アラリック	Alaric
MercX152	エセルレッド	Ethelred
MercX153	カーデン	Caden
MercX154	エルジフ	Elgifu
MercX155	トスティグ	Tostig
MercX156	アルクイン	Alcuin
MercX157	イームンド	Emund
MercX158	ジークルート	Sigurd
MercX159	ゴルム	Gorm
MercX160	ホリス	Hollis
MercX161	ラグナー	Ragnar
MercX162	トーケル	Torkel
MercX163	ウルフスタン	Wulfstan
MercX164	アルバン	Alban
MercX165	バーロック	Barloc
MercX166	ビル	Bill
MercX167	セオドリック	Theodoric
r16	\purple; イオ・ルーン	\purple;Io Rune
r16L	イオ	Io
r13	\purple; シャエル・ルーン	\purple;Shael Rune
r13L	シャエル	Shael
r31	\purple; ジョー・ルーン	\purple;Jah Rune
r31L	ジョー	Jah
DarkStalker	ダークストーカー	Dark Stalker
VileArcher	ヴァイル・アーチャー	Vile Archer
Runeword22	ディリリアム	Delirium
Whichwild String	ホィッチワイルド・ストリング	Witchwild String
x	あなたが「Diablo II: Lord of Destruction」のインストールに使ったCDキーには、Battle.netへのアクセス権がありません。	This application was installed using a Lord of Destruction CD Key which is not authorized for Battle.net use.
x	現在お使いの「Diablo II: Lord of Destruction」CDキーは、Battle.netへのアクセスを停止されています。詳しくはカプコンのテクニカルサポートにお電話ください。	The Lord of Destruction CD Key that you installed with has been disabled. Please contact Blizzard Entertainment Technical Support for further assistance.
x	あなたと同じCDキーを、以下の人物が現在使用中です：	Your Lord of Destruction CD key is currently being used by:
x	あなたが「Diablo II: Lord of Destruction」のインストールに使ったCDキーは、別の製品のものです。正しいCDキーを使って再インストールしてください。	The Lord of Destruction CD key used to install this application was intended for another product. Please reinstall this application using the correct CD key.
Playersubtitles29	退却！	Retreat!
AmaOnly	(アマゾンのみ)	(Amazon Only)
SorOnly	(ソーサレスのみ)	(Sorceress Only)
NecOnly	(ネクロマンサーのみ)	(Necromancer Only)
PalOnly	(パラディンのみ)	(Paladin Only)
BarOnly	(バーバリアンのみ)	(Barbarian Only)
DruOnly	(ドルイドのみ)	(Druid Only)
AssOnly	(アサシンのみ)	(Assassin Only)
Chatcaps	チャット	CHAT
Newscaps	ニュース	NEWS
Laddercaps	ラダー	LADDER
LaddeCharacter	ラダー専用キャラクター	LADDER CHARACTER
x	作成されるラダー専用キャラクターは、現在進 行中のラダー期間のみ、他のラダー専用キャラクターと対戦できます。現在のラ ダー期間が終了すると、本キャラクターは通常キャラクターになり次回ラダー期間 への持ち越しはできません。作成しますか？	A Ladder Character can only be played with other Ladder characters during the Ladder Season when it was created. After the Ladder Season is over, then the Ladder character will become a Non-Ladder Character. Continue?
x	ゲームに参加できません。ラダー専用 キャラクターにより作成されたゲームへは、通常キャラクターでは参加できません。	Unable to enter game. A Non-Ladder character cannot join a game created by a Ladder character.
x	ゲームに参加できません。通常キャラクター により作成されたゲームへは、ラダー専用キャラクターでは参加できません。	Unable to enter game. A Ladder character cannot join a game created by a Non-Ladder character.
Sksyn	%sへのボーナス	%s Receives Bonuses From:
Damplev	ダメージ修正（１レベルにつき）	Damage per Level
ElemDampLev	エレメンタル・ダメージ修正（１レベルにつき）	Elemental Damage per Level
Firedplev	火炎ダメージ修正（１レベルにつき）	Fire Damage per Level
Colddplev	冷気ダメージ修正（１レベルにつき）	Cold Damage per Level
Ltngdplev	稲妻ダメージ修正（１レベルにつき）	Lightning Damage per Level
Poisdplev	毒物ダメージ修正（１レベルにつき）	Poison Damage per Level
Magdplev	魔法ダメージ修正（１レベルにつき）	Magic Damage per Level
Rangplev	射程修正（１レベルにつき）	Yards per Level
RateFireplev	速射性能修正（１レベルにつき）	Rate of Fire per Level
AttRateplev	攻撃値修正（１レベルにつき）	Attack Rating per Level
AttSpeedplev	攻撃速度修正（１レベルにつき）	Attack Speed per Level
Defplev	防御力修正（１レベルにつき）	Defense per Level
Manacoredplev	マナ消費修正（１レベルにつき）	Mana Cost per Level
Missplev1	の射弾追加（１レベルにつき）	Missiles per Level
Missplev2	+1の射弾追加（１レベルにつき）	+1 Missile per Level
Missplev3	+1の射弾追加（%dレベルにつき）	+1 Missile per %d Levels
Boltplev1	個の球電追加（１レベルにつき）	Bolts per Level
Boltplev2	+1個の球電追加（１レベルにつき）	+1 Bolt per Level
Boltplev3	+1個の球電追加（%dレベルにつき）	+1 Bolt per %d Levels
Shotplev1	ショット（１レベルにつき）	Shots per Level
Shotplev2	+1ショット（１レベルにつき）	+1 Shot per Level
Shotplev3	+1ショット（%dレベルにつき）	+1 Shot per %d Levels
Hpplev	ライフ修正（１レベルにつき）	Life per Level
WRSpeedplev	移動速度修正（１レベルにつき）	Walk/Run Speed per Level
Durateplev	持続時間修正（１レベルにつき）	Duration per Level
CoLenplev	冷気持続時間修正（１レベルにつき）	Cold Length per Level
FrezLenplev	凍結持続時間修正（１レベルにつき）	Freeze Length per Level
PoisLenplev	毒物持続時間修正（１レベルにつき）	Poison Length per Level
Convphy2magplev	物理ダメージの%d%%を魔法ダメージに変換（１レベルにつき）	Converts %d%% Physical Damage to Magic Damage per Level
Convphy2elemplev	物理ダメージの%d%%をエレメンタル・ダメージに変換（１レベルにつき）	Converts %d%% Physical Damage to Elemental Damage per Level
Convphy2magalt	物理ダメージの%d%%をエレメンタル・ダメージに変換	Converts %d%% Physical Damage to Elemental Damage
Convphy2elemalt	物理ダメージの%d%%を魔法ダメージに変換	Converts %d%% Physical Damage to Magic Damage
Secplev1	秒（１レベルにつき）	Second per Level
Secplev2	秒（１レベルにつき）	Seconds per Level
Damabsplev	ダメージ吸収（１レベルにつき）	Damage Absorbed per Level
WeapDamsk	武器攻撃ダメージ	Weapon Damage
Hbdplev	ホーリー・ボルトのダメージ修正（１レベルにつき）	Holy Bolt Damage per Level
Healplev	ライフ回復（２秒あたり）（１レベルにつき）	Life Healed per Level
Healplev2	ライフ回復（２秒あたり）	Life Healed Every 2 Seconds
FanYDam	あなたのダメージ： 	Your Damage:
PartDam	パーティーのダメージ： 	Party Damage:
AFDImm	平均火炎ダメージ修正（１秒あたり）	Average Fire Damage per Second per Level
Cgslow	敵の速度低下： 	Slows Enemies:
Corexpdam	死体爆発ダメージ：	Corpse Explosion Damage:
ModitemAura	装備すると、レベル%dの%s オーラを獲得	Level %d %s Aura When Equipped
Moditem2allattrib	、全属性値(筋力、敏捷性など)修正	to all Attributes
Moditem2ExpG	、獲得経験値修正	to Experience Gained
ModitemHPaK	ライフ獲得（敵１体を殺すごとに）	Life after each Kill
ModitemRedVendP	商人の売価を全て下げる	Reduces all Vendor Prices
ModitemSMRIP	殺したモンスターを成仏させる	Slain Monsters Rest in Peace
ModitemAttratvsM	、以下に対する攻撃値修正：	to Attack Rating versus
Moditemdamvsm	、以下に対するダメージ修正：	to Damage versus
Moditemslayat	殺害：	Slaying:
Moditemreanimas	以下の状態で蘇生：	Reanimate as:
Moditemenrescoldsk	、敵の冷気耐性修正	to Enemy Cold Resistance
Moditemenresfiresk	、敵の火炎耐性修正	to Enemy Fire Resistance
Moditemenresltngsk	、敵の稲妻耐性修正	to Enemy Lightning Resistance
Moditemenrespoissk	、敵の毒物耐性修正	to Enemy Poison Resistance
ModitemdamFiresk	、火炎魔法ダメージ修正	to Fire Spell Damage
ModitemdamColdsk	、冷気魔法ダメージ修正	to Cold Spell Damage
ModitemdamLtngsk	、稲妻魔法ダメージ修正	to Lightning Spell Damage
ModitemdamPoissk	、毒物魔法ダメージ修正	to Poison Spell Damage
Moditemskondeath	%d%%の確率で、あなたが死んだ際(に)Lv %d %s投射	%d%% Chance to cast level %d %s when you Die
ModitemskonLevel	%d%%の確率で、あなたがレベルアップした際(に)Lv %d %s投射	%d%% Chance to cast level %d %s when you Level-Up
ModitemskonKill	%d%%の確率で、あなたが敵を殺した際(に)Lv %d %s投射	%d%% Chance to cast level %d %s when you Kill an Enemy
Skillname2234	ウィアウルフ	Werewolf
Skillsd2234	ウィアウルフ(人狼)に変身	transform into a werewolf
Skillld2234	ウィアウルフ(人狼)に変身	transform into a werewolf
Skillan2234	ウィアウルフ	Werewolf
StrSkill43a	体のスケルトンメイジ	skeleton mage
StrSkill44a	体のスケルトンメイジ	skeleton magi
StrSklTabItem9	召喚呪文 +%d	+%d to Summoning Skills
SOJSold	%d個の「ヨルダンの石」を商人に売却	%d Stones of Jordan Sold to Merchants
DiabloWalksEarth	ディアブロが地上を歩く	Diablo Walks the Earth
neg	ヘルスポーン・スカル	Hellspawn Skull
TrappDoor	トラップドア	Trap Door
uhf	レジェンダリー・マレット	Legendary Mallet
skillld124P	your life and mana\nthe souls of slain enemies to give\nwhen active, aura attempts to redeem	your life and mana\nthe souls of slain enemies to give\nwhen active, aura attempts to redeem
7wa	バーサーカー・アックス	Berserker Axe
skillld42	効果範囲内の敵全員の体力を奪う\n激しい放電を発生させ	of all nearby enemies\ncreates an electrical field that reduces life
xhg	ウォー・ガントレット	War Gauntlets
Fiendra	フィーンドの	Fiend
Wraithra	レイスの	Wraith
Fiend	フィーンド	Fiend
Wraith	レイス	Wraith
D2bnetHelp10	 \blue;青い文字\gold;は、チャットチャンネル内のプレイヤーの動作を表わします。	\blue;Blue Text\gold; represents actions that have been taken by people in the chat Channel.
ItemStats1r	ブロック成功率：	Chance to Block:
x	サーバーが一杯です	Server is Full
x	現在、「新規作成」は受け付けられません。他のゲームに「参加」されるか、しばらくお待ちになってから再度「新規作成」をお試しください。	No new games can be created right now, Please Join a game or try later.
merca239	ジャルルフ	Jarulf
StrSkill63Patch	持続時間：	over
x	ゲームの「新規作成」は現在、順番待ちです。早くプレイしたければ「参加」をお選び下さい。	You are in line to create a game. Try joining a game to avoid waiting.
X	順番待ち	Game Queue
x	現在、ゲーム数が多すぎて「新規作成」はできません。他のゲームに「参加」されるか、順番待ちの列にお並びください。	Too many games have been created. Please join one instead or await your turn in the Game Queue
x	あなたの待ち順位：	Your position in line is:
x		In the Game Queue
9bl	スティレット	Stiletto
eats and spits corpses	屍を食べて吐く	Eats and Spits Corpses
qstsa2q63f	タル・ラシャの墓所を探索せよ	Explore Tal Rasha's Tomb
Shocking Hit	ショッキング・ヒット	Shocking Hit
ModStr1w	のゴールドを追加入手	Extra Gold from Monsters
ModStr1x	、マジックアイテム入手確率上昇	Better Chance of Getting Magic Items
ModStr3u	命中するとモンスターが逃走	Hit Causes Monster to Flee
ModStr4c	のボーナス攻撃値	Bonus to Attack Rating
ModStr5r	敵の速度低下	Slows Target by
ModStr6f	、目標を蘇生する可能性	Chance to Reanimate Target
ModStr6d	命中すると敵は視力を失う	Hit Blinds Target
x	ゲームに参加するには、ホストのIPアドレスを入力してください	Enter Host IP Address to Join Game
StrSkill61	複数ヒット	Multiple Hits
D2bnetHelp13c	/reply	/reply
D2bnethelp13d	アカウント名を打ち込まなくても、「ささやき（whisper）」してきた相手に返信できます。	Allows you to reply to a whisper without typing the account name
D2bnetHelp52	/whisper, /msg, /reply	/whisper, /msg, /reply
D2bnetHelp10a	\yellow; 黄色の文字\gold;は、Battle.netから直接送られてきた特別なメッセージを示します。	\yellow; Yellow Text\gold; represents special messages sent directly from battle.net
BnetnewGameTime	ゲーム時間：	Game Time:
D2bnetHelp12c	特殊コマンドを使う際、相手のアカウント名だけでなく、キャラクター名を使うこともできるようになりました。同じレルムの相手ならキャラクター名のみ、別のレルムなら「キャラクター名@レルム名」と打ち込んでください。	When using advanced commands, you may also use character names for people in the same Realm, and character names @Realm for people in another Realm.
D2bnetHelp12d	別のゲーム（Starcraftなど）でBattle.netを利用している人にメッセージを送るには、*アカウント名を使わなければなりません。	You must use *account names for anyone on battle.net including people in a different game such as Starcraft.
D2bnetHelp12b	以下のコマンド表で<アカウント名>となっている部分には、<キャラクター名>、<キャラクター名@レルム名>、<*アカウント名>のうち、いずれか便利なものをお使いください。	Wherever a command below calls for the use of <accountname>, please use either <charactername>, <charactername@Realm>, or <*accountname>.
x	ゲートウェイ： %s	GATEWAY: %s
x	パスワード変更	CHANGE PASSWORD
x	パスワード変更	Change Password
x	現在のパスワード	Current Password
x	新しいパスワード	New Password
x	確認のため再入力	Verify New Password
x	ゲートウェイ選択	SELECT GATEWAY
x	現在のゲートウェイにご不満の場合は、他のBattle.netゲートウェイをお選びください。	If the current gateway does not best represent your location, select another Battle.net gateway connection.
x	レルム変更	CHANGE REALM
x	現在のレルム	Current Realm
x	「%s」という名前のキャラクターは、すでにこのレルムに存在しています。	A character named '%s' already exists in this Realm.
D2bnetHelp6a	\dgrey;グレーの文字\gold;はまた、チャットチャンネル内のプレイヤーがとった動作も示します。	\dgrey;Gray Text\gold; also represents actions that have been taken by people in the chat Channel.
D2bnetHelp10aPatch	\blue;青い文字\gold;は、Battle.netから、またはBlizzardの代表者から送られてきた特別なメッセージを示します。	\blue;Blue Text\gold; represents special messages sent directly from battle.net or messages from a Blizzard Representative.
x	送信	SEND
x	パスワード警告	PASSWORD WARNING
x	You are about to send your password to another user on Battle.net. Blizzard will never ask you for your password for any reason.	You are about to send your password to another user on Battle.net. Blizzard will never ask you for your password for any reason.
x	接続中・・・	CONNECTING...
x	Diablo IIはレルムサーバーに接続できませんでした。選択したレルムが利用不可になっているかもしくは接続に関する問題が発生しています。インターネット接続およびファイヤーウォールの設定をご確認ください。ポート番号6112が開放されている必要があります。	REALM DOWN
x	More...	More...
x	あなたはこのDiablo IIレルムに、８人を超えるキャラクターを保管しています。表示できるのは最大８人までなので、現在は隠れているキャラクターがあります。	You have more than 8 characters on this Diablo II Realm. Only 8 characters can be displayed at a time.
x	隠れたキャラクターを表示させるには、すでにあるキャラクターを削除しなくてはなりません。一度削除されたキャラクターを復旧することはできません。詳細はwww.blizzard.com/support/diablo2をご覧ください。	To see more characters, you must delete one of your existing characters. This deletion is permanent. You will not be able to recover the deleted character.
x	使用者同意書	Terms of Service
x	Battle.netにログオンした場合、お客様は最新の使用者同意書を読んで理解し、同意したものと見なされます。	By logging on to Battle.net, you are certifying that you have read and agree to its current Terms of Service
x	%0 %1	%0 %1
GemXp1	篭手、ベルト、靴:	Gloves, Belts, Boots:
x	盾：	Shields:
x	武器：	Weapons:
GemXp4	鎧、兜:	Armor and Helms:
x	拡張版キャラクター	EXPANSION CHARACTER
x	Missing string	Missing string
EskillLowersResistX	耐性低下	Lowers Resistance
ExInsertSocketsX	ソケットアイテムに挿入可能	Can be Inserted into Socketed Items
EskillToMeleeX	(近接攻撃のみ)	to melee attacks
eskillincasemasteryX	クリティカル確率：%d％	%d Percent Chance of Critical Strike
CfgSay7X	「退却！」と言う	Say 'Retreat'
champghostlyX	ゴーストリー・	Ghostly
champfanaticX	ファナティック・	Fanatic
champpossessedX	ポゼスト・	Possessed
champberserkX	バーサーカー・	Berserker
PalMercExST1X	シェイフシフター	Shapeshifter
PalMercEXST3X	ファイター・メイジ	Fighter Mage
PalMercEXST4X	ホーリー	Holy
increaseswithplaylevelX	(キャラクターレベルに比例)	(Based on Character Level)
RankX	Rank	Rank
x	有効な電子メールアドレスを入力してください。	
x	電子メールアドレスを入力すると、パスワードを忘れたときにアカウントを回復する機能など、追加機能を使用できるようになります。詳細は、www.battle.net/email-address を参照してください。	
x	電子メールアドレス:	
x	電子メールアドレスの確認:	
x	登録	
x	登録しない	
x	必ず同じ電子メールアドレスを入力してください。	
x	無効な電子メールアドレス	
x	入力した電子メールアドレスは有効なアドレスではありません。有効な電子メールアドレスを入力してください。	
x	電子メールアドレスを登録しない場合、パスワードを忘れると、アカウントを回復できなくなります。ここで登録しない場合、後からこのアカウントで電子メールアドレスを登録することはできません。 	
x	このアカウントで電子メールアドレスを登録している場合は、パスワードを忘れた場合でも、「送信」をクリックすることで新しいパスワードを要求することができます。	
x	新しいパスワードが要求されたことを確認しました。このアカウントで電子メールアドレスを登録している場合は、パスワードの変更方法に関する電子メールが届きます。	
x	続行	
x	パスワードを忘れた場合は、[アカウント設定] をクリックしてください。	
x	入力したパスワードは間違っています。[アカウント設定] をクリックして、新しいパスワードを取得することができます。	
x	アカウント設定	
x	アカウント設定	
x	パスワードを覚えていて、それを変更したい場合は、ここをクリックしてください。	
x	パスワードを忘れたか、パスワードが機能しない場合は、ここをクリックしてください。	
x	登録した電子メールアドレスを変更する必要がある場合は、ここをクリックしてください。	
x	新しいパスワードの取得	
x	新しいパスワードの取得	
x	電子メールの変更	
x	電子メールの変更	
x	今までの電子メールアドレス:	
x	新しい電子メールアドレス:	
x	新しい電子メールアドレスの確認:	
x	このアカウントで電子メールアドレスを登録している場合は、それをここで変更できます。この変更を行うには、両方の電子メールアドレスが使用可能な状態でなければなりません。	
x	今までの電子メールアドレスと新しい電子メールアドレスが同じです。異なる電子メールアドレスを入力してください。	
x	両方の新しい電子メールアドレスは必ず同じでなければなりません。	
x	Battle.net ニュースアップデート	
x	前回完了した難易度設定:	
x	なし	
x	チャットに入る	
x	パスワードをメモしておいて下さい。	
x	安全でないパスワード	
x	選択したパスワードは安全ではありません。別のパスワードを指定してください。	
x	CD キーの警告	
x	Battle.net 上の他のユーザーに CD キーを送信することはできません。Blizzard がユーザーの CD キーを尋ねることは一切ありません。	
x	今日有効期限が切れます	
x	%d 日後に有効期限が切れます	
x	キャラクターの有効期限切れ	
x		
x		
x		
x		
x		
x		
x		
x		
x	ディアブロ IIでは、作成したキャラクターを使用せずにいると失効してしまいます。キャラクターの作成後、最後にプレイしてから10日間が経過すると、そのキャラクターは失効してしまいますが、2時間以上プレイしたキャラクターに関しては、最後のプレイから失効するまでの期間が3ヶ月間となります。	
x	失効したキャラクターはレルムから削除されます。	
x	'%s'というキャラクターは、規定のプレイ頻度に満たなかった為、削除されました。	
pk1	恐怖の鍵	
pk2	憎悪の鍵	
pk3	破壊の鍵	
dhn	ディアブロの角	
bey	バールの眼	
mbr	メフィストの脳	
std	勇者の旗	
Hellfire Torch	業火のたいまつ	
Lilith	リリス	
Pandemonium Run 1	メイトロンの根城	
Pandemonium Run 2	忘れられし砂地	
Pandemonium Run 3	苦悶の炉	
ModStre8b	、アサシンのスキルレベル修正	
skillld146	敵の防御値と攻撃力を下げる\n恐ろしい叫びを発して	
skillld65	ダメージを増大させる\nパッシブ - 敵の冷気耐性を低下させ	
x	現在お使いのCDキーは、レルムゲームのプレイを禁止されています。シングルプレイヤーもしくはオープンBATTLE.NETをご利用ください。	
x	このレルムへの接続が一時的に制限されています。しばらくしてからログインをお試しください。	
