String Index	日本語修正	日英対訳	Text	Name
A1Q5AfterInitAkara	56\n危険なのは建物のもろさだけではあり\nません。毒ガスに倒れた者も多くおり\nました。\n	56\n危険なのは建物のもろさだけではあり\nません。毒ガスに倒れた者も多くおり\nました。\n	56\n危険なのは建物のもろさだけではあり\nません。毒ガスに倒れた者も多くおり\nました。\n	67\nThe dangers there are not solely \narchitectural. Once inside that \nwretched place, many succumb to a \nvile miasma.\n
A1Q5AfterInitCain	49\nかの塔は叙事詩にも詠われたほどの難\n所だ。恐ろしい悲惨に耐えねばならぬ。\n\n	49\nかの塔は叙事詩にも詠われたほどの難\n所だ。恐ろしい悲惨に耐えねばならぬ。\n\n	49\nかの塔は叙事詩にも詠われたほどの難\n所だ。恐ろしい悲惨に耐えねばならぬ。\n\n	60\nThat tower marks a place of danger. \nThere is an epic poem about it...  How \nmuch sorrow one can stand was tested \nthere.\n
A1Q5AfterInitWarriv	70\n埋もれた財宝の噂は、どこにでもある。\n惑わされて命を落とす者も、どこにで\nもいる。\n	70\n埋もれた財宝の噂は、どこにでもある。\n惑わされて命を落とす者も、どこにで\nもいる。\n	70\n埋もれた財宝の噂は、どこにでもある。\n惑わされて命を落とす者も、どこにで\nもいる。\n	81\nRumors of treasure are no different \nfrom rumors of any other kind. They \nhold false promise to those who should \nknow better.\n
A1Q5AfterInitKashya	75\n歴史書には財宝の記録が残ってるんだ\nけど、あたしらが見つけたのは廃墟と\n骸骨だけさ。\n	75\n歴史書には財宝の記録が残ってるんだ\nけど、あたしらが見つけたのは廃墟と\n骸骨だけさ。\n	75\n歴史書には財宝の記録が残ってるんだ\nけど、あたしらが見つけたのは廃墟と\n骸骨だけさ。\n	78\nThe tome speaks of treasure. Yet, all we \nhave found are death, delirium, and \ndisappointment.\n
A1Q5EarlyReturnKashya	151\n宝探しはあきらめたのかい？\n	151\n宝探しはあきらめたのかい？\n	151\n宝探しはあきらめたのかい？\n	151\nHave you suddenly lost your taste for \nwealth?\n
A1Q5EarlyReturnCain	94\n素早く入り素早く出よ。言えるのはそれ\nれだけだ。\n	94\n素早く入り素早く出よ。言えるのはそれ\nれだけだ。\n	94\n素早く入り素早く出よ。言えるのはそれ\nれだけだ。\n	94\nQuickly in and quickly out is all the \nadvice I can give you.\n
A1Q5EarlyReturnWarriv	118\n満ちた墓より空の財布の方がよい。\n	118\n満ちた墓より空の財布の方がよい。\n	118\n満ちた墓より空の財布の方がよい。\n	118\nBetter an empty pocket than a full \ngrave.\n
A1Q5EarlyReturnCharsi	160\nまだやめる気はないでしょ？\n	160\nまだやめる気はないでしょ？\n	160\nまだやめる気はないでしょ？\n	170\nYou're not ready to give up, are you?\n
A1Q5EarlyReturnAkara	140\nあの塔について知ることは残らず話し\nました。\n	140\nあの塔について知ることは残らず話し\nました。\n	140\nあの塔について知ることは残らず話し\nました。\n	140\nThere is no more I can tell you about \nthat ancient tower.\n
A1Q5EarlyReturnGheed	76\n尻のオデキにあんたの名前をつけたん\nだ。座るたんびに俺を苦しめるからよ！\n\n	76\n尻のオデキにあんたの名前をつけたん\nだ。座るたんびに俺を苦しめるからよ！\n\n	76\n尻のオデキにあんたの名前をつけたん\nだ。座るたんびに俺を苦しめるからよ！\n\n	79\nGuess what! I've named a boil on my \nass after you. It, too, bothers me every \ntime I sit down.\n
A1Q5SuccessfulKashya	60\n当然だけど、宝は取っときな。どうせ\nあたしらじゃ見つけられなかったんだ\nし。\n	60\n当然だけど、宝は取っときな。どうせ\nあたしらじゃ見つけられなかったんだ\nし。\n	60\n当然だけど、宝は取っときな。どうせ\nあたしらじゃ見つけられなかったんだ\nし。\n	79\nYour rewards are well-earned. To us, \nthe tower was nothing more than a \nheadstone looming over a long \nforgotten grave.\n
A1Q5SuccessfulWarriv	50\n富は雲のように移ろいやすい。ギード\nは無視することだ。弱い犬ほどよく吠\nえる。\n	50\n富は雲のように移ろいやすい。ギード\nは無視することだ。弱い犬ほどよく吠\nえる。\n	50\n富は雲のように移ろいやすい。ギード\nは無視することだ。弱い犬ほどよく吠\nえる。\n	62\nRemember. Wealth is as insubstantial \nas a cloud and passes as quickly. \nIgnore Gheed. All that twitters is not \nbold.\n
A1Q5SuccessfulGheed	64\nワリヴの言葉は屁と同じさ。しばらく\n空気を汚してすぐ消える。\n	64\nワリヴの言葉は屁と同じさ。しばらく\n空気を汚してすぐ消える。\n	64\nワリヴの言葉は屁と同じさ。しばらく\n空気を汚してすぐ消える。\n	68\nWarriv's advice is like corpse gas; it \nbefouls the air for a moment and then \nit disappears.\n
A1Q5SuccessfulAkara	49\n塔の財宝など根も葉もない噂だと思っ\nておりましたが、成果を挙げられて何\nよりです。その幸運に我らもあやかり\nたいものですね。\n	49\n塔の財宝など根も葉もない噂だと思っ\nておりましたが、成果を挙げられて何\nよりです。その幸運に我らもあやかり\nたいものですね。\n	49\n塔の財宝など根も葉もない噂だと思っ\nておりましたが、成果を挙げられて何\nよりです。その幸運に我らもあやかり\nたいものですね。\n	58\nI thought the stories of treasure in the \ntower were nothing but lies. I am glad \nyou found something of value in that \ndeath-trap. Would that our Sisters had \nbeen so fortunate.\n
A1Q5SuccessfulCharsi	126\nそのお宝で、これからの旅が楽になる\nよ。\n	126\nそのお宝で、これからの旅が楽になる\nよ。\n	126\nそのお宝で、これからの旅が楽になる\nよ。\n	126\nThose riches will serve you well on the \nlong road ahead.\n
A1Q5SuccessfulCain	66\nよくやった。君は、勇気と強運の両方\nに恵まれておるな。\n	66\nよくやった。君は、勇気と強運の両方\nに恵まれておるな。\n	66\nよくやった。君は、勇気と強運の両方\nに恵まれておるな。\n	69\nWell done, my friend. Courage and \nopportunity together have created in \nyou a kind of alchemy.\n
A1Q3InitCharsi	55\n実は修道院から逃げるとき、魔法の鍛\n冶用ハンマー、ホラドリック・マリュ\nスを置いて来ちゃったの。持ってきて\nくれたら、あんたの武器か防具に魔力\nを吹き込んであげられるわ。\n	55\n実は修道院から逃げるとき、魔法の鍛\n冶用ハンマー、ホラドリック・マリュ\nスを置いて来ちゃったの。持ってきて\nくれたら、あんたの武器か防具に魔力\nを吹き込んであげられるわ。\n	55\n実は修道院から逃げるとき、魔法の鍛\n冶用ハンマー、ホラドリック・マリュ\nスを置いて来ちゃったの。持ってきて\nくれたら、あんたの武器か防具に魔力\nを吹き込んであげられるわ。\n	66\nWhen I fled the Monastery, I left behind \nthe Horadric Malus, my enchanted \nsmithing hammer. If you can retrieve it \nfor me, I'll use its magic to strengthen \nyour equipment.\n
A1Q3AfterInitCain	45\nそれは、罪悪戦争の時代にホラドリム\nの魔道師が鍛えて術を施したハンマー\nだな。ホラドリムの組織が解体された\nとき、東への道を守るこの教団に託さ\nれたものだ。\n	45\nそれは、罪悪戦争の時代にホラドリム\nの魔道師が鍛えて術を施したハンマー\nだな。ホラドリムの組織が解体された\nとき、東への道を守るこの教団に託さ\nれたものだ。\n	45\nそれは、罪悪戦争の時代にホラドリム\nの魔道師が鍛えて術を施したハンマー\nだな。ホラドリムの組織が解体された\nとき、東への道を守るこの教団に託さ\nれたものだ。\n	51\nThe Malus was forged and enchanted by \nthe ancient Horadric Mages during the \nSin Wars. When their union dissolved, \nthe Malus was entrusted to the \nSisterhood guarding the pass into the \nEast.\n
A1Q3AfterInitAkara	50\nホラドリック・マリュスは修道院にあ\nりますが、あの建物はいまや地獄の魔\n獣に埋め尽くされております。お気を\nつけて。\n	50\nホラドリック・マリュスは修道院にあ\nりますが、あの建物はいまや地獄の魔\n獣に埋め尽くされております。お気を\nつけて。\n	50\nホラドリック・マリュスは修道院にあ\nりますが、あの建物はいまや地獄の魔\n獣に埋め尽くされております。お気を\nつけて。\n	59\nThe retrieval of the Horadric Malus is \nnot without risk. Our Monastery is \nfilled with voracious hellspawn. You'd \nbest be careful, my friend.\n
A1Q3AfterInitKashya	60\nチャルシほどの鍛治屋が普通のハンマ\nーを使うなんてもったいないよ。ホラ\nドリック・マリュスがあれば、立派な\n武器や防具を作ってくれるはずさ。\n	60\nチャルシほどの鍛治屋が普通のハンマ\nーを使うなんてもったいないよ。ホラ\nドリック・マリュスがあれば、立派な\n武器や防具を作ってくれるはずさ。\n	60\nチャルシほどの鍛治屋が普通のハンマ\nーを使うなんてもったいないよ。ホラ\nドリック・マリュスがあれば、立派な\n武器や防具を作ってくれるはずさ。\n	61\nCharsi is wasting her time and talents \nusing an inferior hammer! Had she the \nHoradric Malus, she could make the \nsteel sing and craft you a suit of armor \nas impenetrable as the Great Eye.\n
A1Q3AfterInitCharsi	87\n修道院の構造は複雑で、あたし達でも\n迷うほどよ。気をつけて。\n	87\n修道院の構造は複雑で、あたし達でも\n迷うほどよ。気をつけて。\n	87\n修道院の構造は複雑で、あたし達でも\n迷うほどよ。気をつけて。\n	87\nThe Monastery can confuse even those \nwho know it well. Stay alert in there.\n
A1Q3AfterInitGheed	72\nチャルシは最近、そのハンマーの話し\nかしねえんだ。まったくサミシイよ。\n\n \nとっとと持ってきてくれ。\n	72\nチャルシは最近、そのハンマーの話し\nかしねえんだ。まったくサミシイよ。\n\n \nとっとと持ってきてくれ。\n	72\nチャルシは最近、そのハンマーの話し\nかしねえんだ。まったくサミシイよ。\n\n \nとっとと持ってきてくれ。\n	74\nCharsi talks of nothing anymore, but \nthis Horadric Malus. Between you and \nher my ears need a rest.\n \nJust find it and bring it back quickly.\n
A1Q3AfterInitGheedAlt	81\n魔法の肉棒なら、俺のを貸してやるの\nにな。\n	81\n魔法の肉棒なら、俺のを貸してやるの\nにな。\n	81\n魔法の肉棒なら、俺のを貸してやるの\nにな。\n	74\nI have offered my nomadic phallus, but \nto no avail.\n
A1Q3AfterInitWarriv	62\n射手に弓と矢、画工に紙とペンが欠か\nせないように、チャルシの仕事にホラ\nドリック・マリュスは欠かせない。\n	62\n射手に弓と矢、画工に紙とペンが欠か\nせないように、チャルシの仕事にホラ\nドリック・マリュスは欠かせない。\n	62\n射手に弓と矢、画工に紙とペンが欠か\nせないように、チャルシの仕事にホラ\nドリック・マリュスは欠かせない。\n	68\nJust as an archer needs bow and arrow, \nor a draughtsman pen and paper, so \nCharsi needs the Horadric Malus with \nwhich to ply her trade.\n
A1Q3EarlyReturnCain	52\nなかなか見つからんようだな。兵舎の\n方をよく探すのだ。教団の鍛冶場はそ\nこにあったそうだぞ。\n	52\nなかなか見つからんようだな。兵舎の\n方をよく探すのだ。教団の鍛冶場はそ\nこにあったそうだぞ。\n	52\nなかなか見つからんようだな。兵舎の\n方をよく探すのだ。教団の鍛冶場はそ\nこにあったそうだぞ。\n	57\nThe Malus has eluded you so far. Well, \nsearch thoroughly in the Barracks... \nThat is where the Rogues kept their \nforge.\n
A1Q3EarlyReturnAkara	98\nこのクエストを終えなければ、この先\nの敵と戦うのは難しくなります。\n	98\nこのクエストを終えなければ、この先\nの敵と戦うのは難しくなります。\n	98\nこのクエストを終えなければ、この先\nの敵と戦うのは難しくなります。\n	98\nIf you can't carry out this quest, how \nwill you face the greater evils ahead?\n
A1Q3EarlyReturnKashya	58\nアンダリエルと戦うには、腕と度胸だ\nけじゃだめだよ。魔法で強化された武\n器と防具がないと。\n	58\nアンダリエルと戦うには、腕と度胸だ\nけじゃだめだよ。魔法で強化された武\n器と防具がないと。\n	58\nアンダリエルと戦うには、腕と度胸だ\nけじゃだめだよ。魔法で強化された武\n器と防具がないと。\n	71\nTo do battle with Andariel requires \nmore than thick skin and a strong will. \nYou'll want armor and weaponry forged \nwith the hammer's enchantments.\n
A1Q3EarlyReturnCharsi	89\nあのハンマーはホントに凄いのよ。お\n願いだから頑張って。\n	89\nあのハンマーはホントに凄いのよ。お\n願いだから頑張って。\n	89\nあのハンマーはホントに凄いのよ。お\n願いだから頑張って。\n	89\nThe Malus is a Horadric artifact of \ngreat power. Please bring it back.\n
A1Q3EarlyReturnGheed	81\nまだ見つからねえって？\n	81\nまだ見つからねえって？\n	81\nまだ見つからねえって？\n	90\nI have heard that you bear us no Malus.\n
A1Q3EarlyReturnWarriv	120\n勇気を示すいい機会だろう。\n	120\n勇気を示すいい機会だろう。\n	120\n勇気を示すいい機会だろう。\n	120\nWhat better opportunity to show your \nmettle?\n
A1Q3SuccessfulCain	55\nマリュスの魔法の効果は正確には予測\nできんが、いい結果が出るのは間違い\nない。\n	55\nマリュスの魔法の効果は正確には予測\nできんが、いい結果が出るのは間違い\nない。\n	55\nマリュスの魔法の効果は正確には予測\nできんが、いい結果が出るのは間違い\nない。\n	59\nThe magical effects imbued by the \nMalus are impossible to predict, but \nare always to the good.\n
A1Q3SuccessfulAkara	47\nおさすがですね。しかしこれは、修道\n院を奪還するための一歩に過ぎないこ\nとをお忘れなく。\n	47\nおさすがですね。しかしこれは、修道\n院を奪還するための一歩に過ぎないこ\nとをお忘れなく。\n	47\nおさすがですね。しかしこれは、修道\n院を奪還するための一歩に過ぎないこ\nとをお忘れなく。\n	57\nWell done, my friend. But remember, the \nreturn of the Horadric Malus is but one \nstep in reclaiming the Monastery.\n
A1Q3SuccessfulKashya	57\nホラドリック・マリュスさえあれば、\n魔物どもに一矢報いてやれそうだよ！\n	57\nホラドリック・マリュスさえあれば、\n魔物どもに一矢報いてやれそうだよ！\n	57\nホラドリック・マリュスさえあれば、\n魔物どもに一矢報いてやれそうだよ！\n	74\nNow that the Horadric Malus is back in \nour possession, we shall use it to \ndeliver a great blow against the Evil \nwhich torments this land.\n
A1Q3SuccessfulCharsi	70\nありがとう、マリュスを取り返してく\nれたのね！　さっそくあんたのアイテ\nムをひとつ、強化してあげる！\n	70\nありがとう、マリュスを取り返してく\nれたのね！　さっそくあんたのアイテ\nムをひとつ、強化してあげる！\n	70\nありがとう、マリュスを取り返してく\nれたのね！　さっそくあんたのアイテ\nムをひとつ、強化してあげる！\n	72\nOh! Thanks so much for returning the \nHoradric Malus! I will now imbue one of \nyour items with magical powers.\n
A1Q3SuccessfulGheed	120\n見直したぜ、あんた。スゲエよ。\n	120\n見直したぜ、あんた。スゲエよ。\n	120\n見直したぜ、あんた。スゲエよ。\n	120\nI guess it's too late to take back some \nof the names I called you.\n
A1Q3SuccessfulWarriv	118\nハンマーも君も、無事に戻って何より\nだ。\n	118\nハンマーも君も、無事に戻って何より\nだ。\n	118\nハンマーも君も、無事に戻って何より\nだ。\n	118\nI am glad the hammer has returned and \nyou with it.\n
A1Q6InitCain	30\nローグのシスター達を汚染し修道院を\n奪ったのは、まず女魔神アンダリエル\nに間違いなさそうだが、そうなると先\n行きが不安だな。\n \nホラドリムの古文書によれば、アンダ\nリエルは他の魔神と結託して、ディア\nブロ、メフィスト、バールの三魔王を\n地獄より追放したという。地上に出た\n魔王どもは、ソウルストーンに封印さ\nれるまで恐ろしい災厄をもたらし続け\nたという。\n \nそのアンダリエルがここにいるなら、\n地獄の軍勢が再びディアブロたちの配\n下に入ったのかもしれん。もしそうな\nら大変な脅威だ。\n \n修道院が永久に魔神の砦となる前に、\nアンダリエルを討ち取らねばなるまい。\n \n	30\nローグのシスター達を汚染し修道院を\n奪ったのは、まず女魔神アンダリエル\nに間違いなさそうだが、そうなると先\n行きが不安だな。\n \nホラドリムの古文書によれば、アンダ\nリエルは他の魔神と結託して、ディア\nブロ、メフィスト、バールの三魔王を\n地獄より追放したという。地上に出た\n魔王どもは、ソウルストーンに封印さ\nれるまで恐ろしい災厄をもたらし続け\nたという。\n \nそのアンダリエルがここにいるなら、\n地獄の軍勢が再びディアブロたちの配\n下に入ったのかもしれん。もしそうな\nら大変な脅威だ。\n \n修道院が永久に魔神の砦となる前に、\nアンダリエルを討ち取らねばなるまい。\n \n	30\nローグのシスター達を汚染し修道院を\n奪ったのは、まず女魔神アンダリエル\nに間違いなさそうだが、そうなると先\n行きが不安だな。\n \nホラドリムの古文書によれば、アンダ\nリエルは他の魔神と結託して、ディア\nブロ、メフィスト、バールの三魔王を\n地獄より追放したという。地上に出た\n魔王どもは、ソウルストーンに封印さ\nれるまで恐ろしい災厄をもたらし続け\nたという。\n \nそのアンダリエルがここにいるなら、\n地獄の軍勢が再びディアブロたちの配\n下に入ったのかもしれん。もしそうな\nら大変な脅威だ。\n \n修道院が永久に魔神の砦となる前に、\nアンダリエルを討ち取らねばなるまい。\n \n	34\nIt is certain that we face the demon \nqueen, Andariel, who has corrupted the \nRogue Sisterhood and defiled their \nancestral Monastery. This does not \nbode well for us, my friend.\n \nAncient Horadric texts record that \nAndariel and the other Lesser Evils \nonce overthrew the three Prime Evils -- \nDiablo, Mephisto and Baal -- banishing \nthem from Hell to our world. Here, they \ncaused mankind untold anguish and \nsuffering before they were finally \nbound within the Soulstones.\n \nAndariel's presence here could mean \nthat the forces of Hell are once again \naligned behind Diablo and his Brothers. \nIf this is true, then I fear for us all.\n \nYou must kill her before the Monastery \nbecomes a permanent outpost of Hell \nand the way east lost forever.\n
A1Q6AfterInitCain	37\nディアブロは何か恐ろしい目的のため\n東に向かった。アンダリエルに修道院\nを守らせているのは、追っ手をくい止\nめるためだろう。\n \nアンダリエルは魔王ディアブロの歓心\nを買い、高い階級を授かろうという魂\n胆だろうな。\n	37\nディアブロは何か恐ろしい目的のため\n東に向かった。アンダリエルに修道院\nを守らせているのは、追っ手をくい止\nめるためだろう。\n \nアンダリエルは魔王ディアブロの歓心\nを買い、高い階級を授かろうという魂\n胆だろうな。\n	37\nディアブロは何か恐ろしい目的のため\n東に向かった。アンダリエルに修道院\nを守らせているのは、追っ手をくい止\nめるためだろう。\n \nアンダリエルは魔王ディアブロの歓心\nを買い、高い階級を授かろうという魂\n胆だろうな。\n	45\nDiablo is heading east for some foul \npurpose. And the only passage east is \nthrough the Monastery gate. \nObviously, Diablo summoned Andariel \nto block any pursuit.\n \nFor her part Andariel hopes to win \nDiablo's favor... the lesser demons are \nalways vying for positions of power \nwithin the unholy hierarchy!\n
A1Q6AfterInitAkara	55\nアンダリエルは、我々が大切に守って\nきたものを無惨に滅ぼしました。\n \n今度はあなたが、あの女魔神を滅ぼし\nてください！\n	55\nアンダリエルは、我々が大切に守って\nきたものを無惨に滅ぼしました。\n \n今度はあなたが、あの女魔神を滅ぼし\nてください！\n	55\nアンダリエルは、我々が大切に守って\nきたものを無惨に滅ぼしました。\n \n今度はあなたが、あの女魔神を滅ぼし\nてください！\n	63\nAndariel has desecrated all we hold \ndear. She must not be permitted to \nserve Diablo.\n \nDestroy her! Her corruption of our \nOrder must be undone!\n
A1Q6AfterInitCharsi	131\nアンダリエルを地獄に送り返してね！\n	131\nアンダリエルを地獄に送り返してね！\n	131\nアンダリエルを地獄に送り返してね！\n	132\nSend Andariel back to the Hell she came \nfrom!\n
A1Q6AfterInitGheed	68\nアンダリエルと戦う？\n \n俺ぁ、今から荷車の車輪を修理するよ。\n用があったら車の下に声をかけてくれ。\n\n	68\nアンダリエルと戦う？\n \n俺ぁ、今から荷車の車輪を修理するよ。\n用があったら車の下に声をかけてくれ。\n\n	68\nアンダリエルと戦う？\n \n俺ぁ、今から荷車の車輪を修理するよ。\n用があったら車の下に声をかけてくれ。\n\n	71\nYou're going after Andariel?\n \n... One of my wagon wheels is in need of \nrepair. I'll be under the wagon, if I'm \nneeded.\n
A1Q6AfterInitWarriv	60\n地図の上では、２点を結ぶ最短距離は\n直線だが...\n \n東に向かう道は、どう曲げようともあ\nの修道院を避けられない。\n	60\n地図の上では、２点を結ぶ最短距離は\n直線だが...\n \n東に向かう道は、どう曲げようともあ\nの修道院を避けられない。\n	60\n地図の上では、２点を結ぶ最短距離は\n直線だが...\n \n東に向かう道は、どう曲げようともあ\nの修道院を避けられない。\n	72\nThe mapmakers tell us the shortest \ndistance between two points is a \nstraight line.\n \nOur way east is a line that runs through \nAndariel's stronghold, the Monastery.\n
A1Q6AfterInitKashya	69\n千回でも殺したい相手なのに、一度し\nか倒せないのは残念だわ。\n	69\n千回でも殺したい相手なのに、一度し\nか倒せないのは残念だわ。\n	69\n千回でも殺したい相手なのに、一度し\nか倒せないのは残念だわ。\n	81\nI can imagine a thousand different ways \nto kill Andariel. You need only choose \none.\n
A1Q6EarlyReturnCain	38\nアンダリエルが、東に向かったディア\nブロの背後を守っているのは明らかだ。\n彼女を倒して魔王を追わねばならん。\n \n \n古文書によれば、アンダリエルは焦熱\n地獄に生まれたため炎を好まぬという。\n \n	38\nアンダリエルが、東に向かったディア\nブロの背後を守っているのは明らかだ。\n彼女を倒して魔王を追わねばならん。\n \n \n古文書によれば、アンダリエルは焦熱\n地獄に生まれたため炎を好まぬという。\n \n	38\nアンダリエルが、東に向かったディア\nブロの背後を守っているのは明らかだ。\n彼女を倒して魔王を追わねばならん。\n \n \n古文書によれば、アンダリエルは焦熱\n地獄に生まれたため炎を好まぬという。\n \n	48\nIt is clear that Andariel is acting on \nbehalf of Diablo to prevent anyone \nfrom following him eastward. Her \ndefeat would allow you to continue the \npursuit.\n \nAncient lore has it that while Andariel \nwas spawned in the Burning Hells, she \nis not fond of fire.\n
A1Q6EarlyReturnAkara	50\n努力には感謝しますが、これでは敵の\n怒りに油を注いだだけです。我々が全\n滅するまで、攻撃は続くでしょう。\n \nどうか、一刻も早くアンダリエルをお\n討ちください。\n	50\n努力には感謝しますが、これでは敵の\n怒りに油を注いだだけです。我々が全\n滅するまで、攻撃は続くでしょう。\n \nどうか、一刻も早くアンダリエルをお\n討ちください。\n	50\n努力には感謝しますが、これでは敵の\n怒りに油を注いだだけです。我々が全\n滅するまで、攻撃は続くでしょう。\n \nどうか、一刻も早くアンダリエルをお\n討ちください。\n	57\nYou have done much to help us, but I \nsense that this has only fueled \nAndariel's fury. She will not stop until \nwe are all dead.\n \nYou must kill Andariel before her army \ncan gain the upper hand.\n
A1Q6EarlyReturnGheed	55\n女魔神って、ずいぶんなベッピンなん\nだって？　「苦痛の乙女達」が言って\nたぜ。\n	55\n女魔神って、ずいぶんなベッピンなん\nだって？　「苦痛の乙女達」が言って\nたぜ。\n	55\n女魔神って、ずいぶんなベッピンなん\nだって？　「苦痛の乙女達」が言って\nたぜ。\n	72\nHave you stumbled upon that Demon \nQueen, yet? I hear she's quite the \nbeauty... as far as Maidens of Anguish \ngo, that is.\n
A1Q6EarlyReturnCharsi	108\nいよいよ、勇者の力を見せる時ね。\n	108\nいよいよ、勇者の力を見せる時ね。\n	108\nいよいよ、勇者の力を見せる時ね。\n	108\nIf you are the hero that you seem to be, \nnow is the time to prove it.\n
A1Q6EarlyReturnWarriv	80\n門が開いた後、東に行けるのは我々の\nキャラバンだけだということをお忘れ\nなく。\n	80\n門が開いた後、東に行けるのは我々の\nキャラバンだけだということをお忘れ\nなく。\n	80\n門が開いた後、東に行けるのは我々の\nキャラバンだけだということをお忘れ\nなく。\n	90\nMay I remind you that my caravan can \nonly go east, if the Monastery is \ncleansed?\n
A1Q6EarlyReturn2Kashya	126\nケインが、敵について大事な話がある\nって。\n	126\nケインが、敵について大事な話がある\nって。\n	126\nケインが、敵について大事な話がある\nって。\n	126\nDeckard Cain has important information \nabout Andariel.\n
A1Q6SuccessfulAkara	59\nこれ以上の喜びはありません！\n \nあなたへの恩義ははかり知れません。\n残る課題は教団の再建だけです。\n \n心からお礼を申し上げます。\n	59\nこれ以上の喜びはありません！\n \nあなたへの恩義ははかり知れません。\n残る課題は教団の再建だけです。\n \n心からお礼を申し上げます。\n	59\nこれ以上の喜びはありません！\n \nあなたへの恩義ははかり知れません。\n残る課題は教団の再建だけです。\n \n心からお礼を申し上げます。\n	64\nFinally, we may rejoice!\n \nWe owe you a debt we can never repay. \nI only hope that in time we will be able \nto rebuild our Order.\n \nAll our thanks go with you, my friend.\n
A1Q6SuccessfulCharsi	86\nもう、東へ行っちゃうんだ...。よかっ\nたね。いるものがあったら、またいつ\nでも来てね。\n	86\nもう、東へ行っちゃうんだ...。よかっ\nたね。いるものがあったら、またいつ\nでも来てね。\n	86\nもう、東へ行っちゃうんだ...。よかっ\nたね。いるものがあったら、またいつ\nでも来てね。\n	86\nYou'll probably go east now... It was \ngood to know you. I hope you'll come \nback if you ever need anything.\n
A1Q6SuccessfulKashya	40\nアンダリエルが死んで、みんな生き返\nったみたいだよ。仲間を失った哀しみ\nは消えないけど、残った者は前に進め\nるもの。\n \nあんたを誤解してた。あんたは本物の\n勇者だわ。その勇気は、教団がこの先\nずっと語り継いでいくからね。\n \nさよなら、気をつけて。\n	40\nアンダリエルが死んで、みんな生き返\nったみたいだよ。仲間を失った哀しみ\nは消えないけど、残った者は前に進め\nるもの。\n \nあんたを誤解してた。あんたは本物の\n勇者だわ。その勇気は、教団がこの先\nずっと語り継いでいくからね。\n \nさよなら、気をつけて。\n	40\nアンダリエルが死んで、みんな生き返\nったみたいだよ。仲間を失った哀しみ\nは消えないけど、残った者は前に進め\nるもの。\n \nあんたを誤解してた。あんたは本物の\n勇者だわ。その勇気は、教団がこの先\nずっと語り継いでいくからね。\n \nさよなら、気をつけて。\n	44\nAndariel's death brings about renewed \nlife for us all. We mourn the loss of our \ndear Sisters, but at least now we can \nget on with our lives.\n \nI... may have misjudged you, outlander. \nYou are a true hero and testament to \nthe noble spirit which has inspired our \nOrder for generations.\n \nFare well... my friend.\n
A1Q6SuccessfulGheed	100\nさあ、大宴会だ！\n	100\nさあ、大宴会だ！\n	100\nさあ、大宴会だ！\n	100\nI'm going to party like it's 999!\n
A1Q6SuccessfulWarriv	82\n出発の準備はできた。いつでもラット・\nゴーレインに向かえる。\n	82\n出発の準備はできた。いつでもラット・\nゴーレインに向かえる。\n	82\n出発の準備はできた。いつでもラット・\nゴーレインに向かえる。\n	82\nThe caravan is prepared. We may now \njourney eastward to Lut Gholein.\n
A1Q6SuccessfulCain	30\nこれは偉大な勝利だが、まだ道のりは\n険しいぞ。わしも一緒に行って力を貸\nそう。忘れるな、ディアブロはまだ生\nきていて、砂漠で何かを探しておる。\n奴の狙いを突き止めぬ限り、気は抜け\nんのだ。\n	30\nこれは偉大な勝利だが、まだ道のりは\n険しいぞ。わしも一緒に行って力を貸\nそう。忘れるな、ディアブロはまだ生\nきていて、砂漠で何かを探しておる。\n奴の狙いを突き止めぬ限り、気は抜け\nんのだ。\n	30\nこれは偉大な勝利だが、まだ道のりは\n険しいぞ。わしも一緒に行って力を貸\nそう。忘れるな、ディアブロはまだ生\nきていて、砂漠で何かを探しておる。\n奴の狙いを突き止めぬ限り、気は抜け\nんのだ。\n	38\nThis is a great victory indeed, but many \nmore battles await. I will accompany \nyou on your journey, lending what \nassistance I can... \n \nRemember... Diablo is still out there, \nseeking something in the desert. I'm \nafraid that this nightmare will not end \nuntil you find what it is that he seeks.\n
PalaceGuardGossip1	600\n止まれ。\n	600\n止まれ。\n	600\n止まれ。\n	600\nHalt.\n
PalaceGuardGossip2	290\n通す事はできん。\n	290\n通す事はできん。\n	290\n通す事はできん。\n	290\nYou may not pass.\n
PalaceGuardGossip3	255\n宮殿へようこそ。\n	255\n宮殿へようこそ。\n	255\n宮殿へようこそ。\n	255\nWelcome to the palace.\n
PalaceGuardGossip4	255\n通ってもいいぞ。\n	255\n通ってもいいぞ。\n	255\n通ってもいいぞ。\n	255\nYou may enter the palace.\n
PalaceGuardGossip5	290\n近寄るんじゃない。\n	290\n近寄るんじゃない。\n	290\n近寄るんじゃない。\n	290\nStay out of trouble.\n
